Time (µs) - Sample 2 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test1;Time (µs) - Sample 2 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test2;Time (µs) - Sample 2 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test3;;;;;;Size (d.nm) - Sample 2 [Steady state] test1;Intensity (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Intensity (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Intensity (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Number (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Number (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Number (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Volume (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Volume (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Volume (Percent) - Sample 2 [Steady state] test3
0,0875;1,044;0,0875;1,062;0,0875;1,063;;;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0
0,1;1,039;0,1;1,057;0,1;1,058;;;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0
0,1125;1,037;0,1125;1,042;0,1125;1,045;;;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0
0,125;1,025;0,125;1,031;0,125;1,038;;;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0
0,1375;1,014;0,1375;1,021;0,1375;1,029;;;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0
0,15;1,003;0,15;1,02;0,15;1,028;;;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0
0,1625;1,006;0,1625;1,021;0,1625;1,021;;;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0
0,175;1,009;0,175;1,026;0,175;1,019;;;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0
0,1875;1,006;0,1875;1,029;0,1875;1,017;;;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0
0,2;0,9989;0,2;1,027;0,2;1,009;;;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0
0,2125;0,9921;0,2125;1,013;0,2125;1,004;;;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0
