Size (d.nm) - Sample 3 [Steady state] test1;Intensity (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Intensity (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Intensity (Percent) - Sample 3 [Steady state] test3;;;;Time (µs) - Sample 3 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test1;;Time (µs) - Sample 3 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test2;;Time (µs) - Sample 3 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test3;;;;;Size (d.nm) - Sample 3 [Steady state] test1;Number (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Number (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Number (Percent) - Sample 3 [Steady state] test3;;;;Size (d.nm) - Sample 3 [Steady state] test1;Volume (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Volume (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Volume (Percent) - Sample 3 [Steady state] test3
0,3;0;;0,3;0;;0,3;0;;;;0,0875;1,089;;0,0875;1,089;;0,0875;1,114;;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0
0,3489;0;;0,3489;0;;0,3489;0;;;;0,1;1,065;;0,1;1,063;;0,1;1,085;;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0
0,4057;0;;0,4057;0;;0,4057;0;;;;0,1125;1,049;;0,1125;1,038;;0,1125;1,061;;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0
0,4718;0;;0,4718;0;;0,4718;0;;;;0,125;1,043;;0,125;1,032;;0,125;1,062;;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0
0,5487;0;;0,5487;0;;0,5487;0;;;;0,1375;1,032;;0,1375;1,018;;0,1375;1,053;;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0
0,6381;0;;0,6381;0;;0,6381;0;;;;0,15;1,025;;0,15;1,018;;0,15;1,044;;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0
0,742;0;;0,742;0;;0,742;0;;;;0,1625;1,018;;0,1625;1,013;;0,1625;1,039;;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0
0,8629;0;;0,8629;0;;0,8629;0;;;;0,175;1,02;;0,175;1,013;;0,175;1,031;;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0
1,003;0;;1,003;0;;1,003;0;;;;0,1875;1,016;;0,1875;1,017;;0,1875;1,04;;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0
1,167;0;;1,167;0;;1,167;0;;;;0,2;1,016;;0,2;1,025;;0,2;1,03;;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0
1,357;0;;1,357;0;;1,357;0;;;;0,2125;1,007;;0,2125;1,021;;0,2125;1,03;;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0
1,578;0;;1,578;0;;1,578;0;;;;0,225;1,006;;0,225;1,014;;0,225;1,024;;;;;1,578;0;;1,578;0;;1,578;0;;;;1,578;0;;1,578;0;;1,578;0
1,835;0;;1,835;0;;1,835;0;;;;0,2375;1,006;;0,2375;1,004;;0,2375;1,024;;;;;1,835;0;;1,835;0;;1,835;0;;;;1,835;0;;1,835;0;;1,835;0
2,134;0;;2,134;0;;2,134;0;;;;0,25;1;;0,25;1,008;;0,25;1,029;;;;;2,134;0;;2,134;0;;2,134;0;;;;2,134;0;;2,134;0;;2,134;0
2,482;0;;2,482;0;;2,482;0;;;;0,2625;0,9958;;0,2625;1,008;;0,2625;1,026;;;;;2,482;0;;2,482;0;;2,482;0;;;;2,482;0;;2,482;0;;2,482;0
2,886;0;;2,886;0;;2,886;0;;;;0,275;0,9933;;0,275;1,008;;0,275;1,027;;;;;2,886;0;;2,886;0;;2,886;0;;;;2,886;0;;2,886;0;;2,886;0
3,357;0;;3,357;0;;3,357;0;;;;0,2875;0,9996;;0,2875;1,002;;0,2875;1,017;;;;;3,357;0;;3,357;0;;3,357;0;;;;3,357;0;;3,357;0;;3,357;0
3,903;0;;3,903;0;;3,903;0;;;;0,3;0,9994;;0,3;1,004;;0,3;1,018;;;;;3,903;0;;3,903;0;;3,903;0;;;;3,903;0;;3,903;0;;3,903;0
4,539;0;;4,539;0;;4,539;0;;;;0,3125;0,9942;;0,3125;1,003;;0,3125;1,01;;;;;4,539;0;;4,539;0;;4,539;0;;;;4,539;0;;4,539;0;;4,539;0
5,279;0;;5,279;0;;5,279;0;;;;0,325;0,9879;;0,325;1;;0,325;1,009;;;;;5,279;0;;5,279;0;;5,279;0;;;;5,279;0;;5,279;0;;5,279;0
6,139;0;;6,139;0;;6,139;0;;;;0,3375;0,9823;;0,3375;0,9907;;0,3375;1,009;;;;;6,139;0;;6,139;0;;6,139;0;;;;6,139;0;;6,139;0;;6,139;0
7,139;0;;7,139;0;;7,139;0;;;;0,35;0,9866;;0,35;0,9889;;0,35;1,011;;;;;7,139;0;;7,139;0;;7,139;0;;;;7,139;0;;7,139;0;;7,139;0
8,302;0;;8,302;0;;8,302;0;;;;0,3625;0,991;;0,3625;0,9934;;0,3625;1,021;;;;;8,302;0;;8,302;0;;8,302;0;;;;8,302;0;;8,302;0;;8,302;0
9,655;0;;9,655;0;;9,655;0;;;;0,375;0,9958;;0,375;0,9991;;0,375;1,016;;;;;9,655;0;;9,655;0;;9,655;0;;;;9,655;0;;9,655;0;;9,655;0
11,23;0;;11,23;0;;11,23;0;;;;0,3875;0,9921;;0,3875;1,001;;0,3875;1,017;;;;;11,23;0;;11,23;0;;11,23;0;;;;11,23;0;;11,23;0;;11,23;0
13,06;0;;13,06;0;;13,06;0;;;;0,4;0,9897;;0,4;0,9982;;0,4;1,007;;;;;13,06;0;;13,06;0;;13,06;0;;;;13,06;0;;13,06;0;;13,06;0
15,18;0;;15,18;0;;15,18;0;;;;0,425;0,994;;0,425;0,996;;0,425;1,005;;;;;15,18;0;;15,18;0;;15,18;0;;;;15,18;0;;15,18;0;;15,18;0
17,66;0;;17,66;0;;17,66;0;;;;0,45;0,9917;;0,45;0,9917;;0,45;1,009;;;;;17,66;0,8142;;17,66;0;;17,66;0;;;;17,66;0,2131;;17,66;0;;17,66;0
20,53;0,02079;;20,53;0;;20,53;0;;;;0,475;0,9906;;0,475;0,9955;;0,475;1,008;;;;;20,53;8,696;;20,53;7,502;;20,53;7,195;;;;20,53;3,336;;20,53;3,218;;20,53;3,092
23,88;0,4456;;23,88;0,5582;;23,88;0,5238;;;;0,5;0,9894;;0,5;0,9938;;0,5;1,02;;;;;23,88;22,83;;23,88;23,49;;23,88;23,08;;;;23,88;11,14;;23,88;12,16;;23,88;12,06
27,77;1,227;;27,77;1,557;;27,77;1,561;;;;0,525;0,9914;;0,525;0,9922;;0,525;1,017;;;;;27,77;28,14;;27,77;29,92;;27,77;30,23;;;;27,77;18,52;;27,77;20,44;;27,77;20,85
32,3;2,033;;32,3;2,465;;32,3;2,502;;;;0,55;0,9904;;0,55;0,9911;;0,55;1,015;;;;;32,3;21,09;;32,3;21,86;;32,3;22,49;;;;32,3;20,07;;32,3;21,42;;32,3;22,07
37,56;2,46;;37,56;2,761;;37,56;2,724;;;;0,575;0,9907;;0,575;0,9893;;0,575;1,01;;;;;37,56;11,48;;37,56;11,23;;37,56;11,42;;;;37,56;16,18;;37,56;16,22;;37,56;16,38
43,68;2,249;;43,68;2,269;;43,68;2,057;;;;0,6;0,9909;;0,6;0,9884;;0,6;1,002;;;;;43,68;4,8;;43,68;4,326;;43,68;4,176;;;;43,68;10,07;;43,68;9,271;;43,68;8,801
50,79;1,454;;50,79;1,276;;50,79;0,9293;;;;0,625;0,9894;;0,625;0,9837;;0,625;1,002;;;;;50,79;1,516;;50,79;1,232;;50,79;1,057;;;;50,79;4,686;;50,79;3,891;;50,79;3,228
59,07;0,4842;;59,07;0,3641;;59,07;0,09279;;;;0,65;0,9889;;0,65;0,9852;;0,65;0,9977;;;;;59,07;0,3257;;59,07;0,2348;;59,07;0,1532;;;;59,07;1,449;;59,07;1,074;;59,07;0,661
68,69;0;;68,69;0;;68,69;0;;;;0,675;0,9856;;0,675;0,9903;;0,675;1,002;;;;;68,69;0,0434;;68,69;0,02226;;68,69;0,005797;;;;68,69;0,3481;;68,69;0,1445;;68,69;0,0377
79,88;0,6792;;79,88;0;;79,88;0;;;;0,7;0,9839;;0,7;0,9941;;0,7;0,9958;;;;;79,88;0,03263;;79,88;0,009169;;79,88;0,00839;;;;79,88;0,6413;;79,88;0,2315;;79,88;0,2122
92,89;2,932;;92,89;2,022;;92,89;1,81;;;;0,725;0,9792;;0,725;0,993;;0,725;0,9971;;;;;92,89;0,05587;;92,89;0,03128;;92,89;0,03002;;;;92,89;1,501;;92,89;0,9771;;92,89;0,9513
108;6,636;;108;6,33;;108;6,335;;;;0,75;0,9793;;0,75;0,9914;;0,75;0,9963;;;;;108;0,06107;;108;0,0472;;108;0,04791;;;;108;2,401;;108;2,018;;108;2,082
125,6;11,04;;125,6;11,84;;125,6;12,45;;;;0,775;0,9774;;0,775;0,9873;;0,775;0,9946;;;;;125,6;0,05411;;125,6;0,048;;125,6;0,05108;;;;125,6;3,285;;125,6;3,088;;125,6;3,316
146,1;14,88;;146,1;16,61;;146,1;17,74;;;;0,8;0,9761;;0,8;0,9865;;0,8;0,9952;;;;;146,1;0,03788;;146,1;0,03533;;146,1;0,03834;;;;146,1;3,207;;146,1;3,127;;146,1;3,405
169,9;16,8;;169,9;18,61;;169,9;19,71;;;;0,85;0,9757;;0,85;0,9824;;0,85;0,999;;;;;169,9;0,01547;;169,9;0,01457;;169,9;0,01585;;;;169,9;1,727;;169,9;1,691;;169,9;1,838
197,6;15,86;;197,6;16,7;;197,6;17,06;;;;0,9;0,9773;;0,9;0,9833;;0,9;1,005;;;;;197,6;0,003134;;197,6;0,002856;;197,6;0,003031;;;;197,6;0,6119;;197,6;0,5735;;197,6;0,6043
229,8;12,07;;229,8;11,35;;229,8;10,72;;;;0,95;0,9778;;0,95;0,984;;0,95;0,9986;;;;;229,8;0,0011;;229,8;0,0009189;;229,8;0,0009202;;;;229,8;0,3412;;229,8;0,2885;;229,8;0,2843
267,2;6,71;;267,2;4,849;;267,2;3,782;;;;1;0,974;;1;0,9768;;1;0,995;;;;;267,2;0,0003877;;267,2;0,000271;;267,2;0,0002429;;;;267,2;0,1829;;267,2;0,1256;;267,2;0,1094
310,7;2,021;;310,7;0,4277;;310,7;0;;;;1,05;0,9744;;1,05;0,9725;;1,05;0,9934;;;;;310,7;0,0001085;;310,7;5,26E-05;;310,7;3,73E-05;;;;310,7;0,0732;;310,7;0,03356;;310,7;0,02246
361,3;0;;361,3;0;;361,3;0;;;;1,1;0,9739;;1,1;0,9704;;1,1;0,9913;;;;;361,3;1,61E-05;;361,3;2,88E-06;;361,3;0;;;;361,3;0,01457;;361,3;0,002723;;361,3;0
420,2;0;;420,2;0;;420,2;0;;;;1,15;0,9727;;1,15;0,9734;;1,15;0,9895;;;;;420,2;0;;420,2;0;;420,2;0;;;;420,2;0;;420,2;0;;420,2;0
488,7;0;;488,7;0;;488,7;0;;;;1,2;0,9704;;1,2;0,9746;;1,2;0,989;;;;;488,7;0;;488,7;0;;488,7;0;;;;488,7;0;;488,7;0;;488,7;0
568,3;0;;568,3;0;;568,3;0;;;;1,25;0,97;;1,25;0,9743;;1,25;0,9951;;;;;568,3;0;;568,3;0;;568,3;0;;;;568,3;0;;568,3;0;;568,3;0
660,9;0;;660,9;0;;660,9;0;;;;1,3;0,9696;;1,3;0,9743;;1,3;0,9938;;;;;660,9;0;;660,9;0;;660,9;0;;;;660,9;0;;660,9;0;;660,9;0
768,5;0;;768,5;0;;768,5;0;;;;1,35;0,9703;;1,35;0,9719;;1,35;0,9941;;;;;768,5;0;;768,5;0;;768,5;0;;;;768,5;0;;768,5;0;;768,5;0
893,8;0;;893,8;0;;893,8;0;;;;1,4;0,9684;;1,4;0,9739;;1,4;0,9913;;;;;893,8;0;;893,8;0;;893,8;0;;;;893,8;0;;893,8;0;;893,8;0
1039;0;;1039;0;;1039;0;;;;1,45;0,9672;;1,45;0,9703;;1,45;0,9857;;;;;1039;0;;1039;0;;1039;0;;;;1039;0;;1039;0;;1039;0
1209;0;;1209;0;;1209;0;;;;1,5;0,9653;;1,5;0,9698;;1,5;0,9789;;;;;1209;0;;1209;0;;1209;0;;;;1209;0;;1209;0;;1209;0
1406;0;;1406;0;;1406;0;;;;1,55;0,9661;;1,55;0,9674;;1,55;0,9734;;;;;1406;0;;1406;0;;1406;0;;;;1406;0;;1406;0;;1406;0
1635;0;;1635;0;;1635;0;;;;1,6;0,9666;;1,6;0,9684;;1,6;0,974;;;;;1635;0;;1635;0;;1635;0;;;;1635;0;;1635;0;;1635;0
