Time (µs) - Sample 5 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test1;;Time (µs) - Sample 5 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test2;;Time (µs) - Sample 5 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Intensity (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Intensity (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Intensity (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Number (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Number (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Number (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Volume (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Volume (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Volume (Percent) - Sample 5 [Steady state] test3
0,0875;1,048;;0,0875;1,023;;0,0875;1,098;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0
0,1;1,042;;0,1;1,016;;0,1;1,081;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0
0,1125;1,029;;0,1125;1,009;;0,1125;1,071;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0
0,125;1,019;;0,125;1,003;;0,125;1,061;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0
0,1375;1,011;;0,1375;0,9928;;0,1375;1,059;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0
0,15;1,011;;0,15;0,9844;;0,15;1,057;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0
0,1625;1,012;;0,1625;0,9795;;0,1625;1,057;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0
0,175;1,011;;0,175;0,9821;;0,175;1,057;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0
0,1875;1,015;;0,1875;0,9826;;0,1875;1,052;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0
0,2;1,013;;0,2;0,9804;;0,2;1,05;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0
0,2125;1,01;;0,2125;0,9757;;0,2125;1,044;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0
