Size (d.nm) - Sample 1 [Steady state] test1;Intensity (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Intensity (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Intensity (Percent) - Sample 1 [Steady state] test3;;Time (µs) - Sample 1 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test1;Time (µs) - Sample 1 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test2;Time (µs) - Sample 1 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test3;;Size (d.nm) - Sample 1 [Steady state] test1;Volume (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Volume (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Volume (Percent) - Sample 1 [Steady state] test3;;Size (d.nm) - Sample 1 [Steady state] test1;Number (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Number (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Number (Percent) - Sample 1 [Steady state] test3
0,3;0;0,3;0;0,3;0;;0,0875;0,5759;0,0875;0,5331;0,0875;0,2676;;0,3;0;0,3;0;0,3;0;;0,3;0;0,3;0;0,3;0
0,3489;0;0,3489;0;0,3489;0;;0,1;0,5582;0,1;0,5241;0,1;0,2649;;0,3489;0;0,3489;0;0,3489;0;;0,3489;0;0,3489;0;0,3489;0
0,4057;0;0,4057;0;0,4057;0;;0,1125;0,5466;0,1125;0,5179;0,1125;0,2609;;0,4057;0;0,4057;0;0,4057;0;;0,4057;0;0,4057;0;0,4057;0
0,4718;0;0,4718;0;0,4718;0;;0,125;0,5443;0,125;0,5135;0,125;0,2579;;0,4718;0;0,4718;0;0,4718;0;;0,4718;0;0,4718;0;0,4718;0
0,5487;0;0,5487;0;0,5487;0;;0,1375;0,5397;0,1375;0,5095;0,1375;0,2548;;0,5487;0;0,5487;0;0,5487;0;;0,5487;0;0,5487;0;0,5487;0
0,6381;0;0,6381;0;0,6381;0;;0,15;0,5338;0,15;0,5087;0,15;0,254;;0,6381;0;0,6381;0;0,6381;0;;0,6381;0;0,6381;0;0,6381;0
0,742;0;0,742;0;0,742;0;;0,1625;0,5343;0,1625;0,5092;0,1625;0,2527;;0,742;0;0,742;0;0,742;0;;0,742;0;0,742;0;0,742;0
0,8629;0;0,8629;0;0,8629;0;;0,175;0,529;0,175;0,5106;0,175;0,2545;;0,8629;0;0,8629;0;0,8629;0;;0,8629;0;0,8629;0;0,8629;0
1,003;0;1,003;0;1,003;0;;0,1875;0,5274;0,1875;0,5081;0,1875;0,2541;;1,003;0;1,003;0;1,003;0;;1,003;0;1,003;0;1,003;0
1,167;0;1,167;0;1,167;0;;0,2;0,5192;0,2;0,5064;0,2;0,2534;;1,167;0;1,167;0;1,167;0;;1,167;0;1,167;0;1,167;0
